"","Base.Word","Level","Part.of.Speech","plurals.f.lemma"
"476","exam","A2","noun","exams"
"477","examination","A2","noun","examinations"
"478","exercise","A2","noun","exercises"
"479","exit","A2","noun","exits"
"480","fact","A2","noun","facts"
"481","fall","A2","noun","falls"
"482","fan","A2","noun","fans"
"483","farmer","A2","noun","farmers"
"484","fashion","A2","noun","fashions"
"485","field","A2","noun","fields"
"486","file","A2","noun","files"
"487","finger","A2","noun","fingers"
"488","fire","A2","noun","fires"
"490","flight","A2","noun","flights"
"491","floor","A2","noun","floors"
"492","fog","A2","noun","fogs"
"493","folder","A2","noun","folders"
"494","football","A2","noun","footballs"
"495","forest","A2","noun","forests"
"496","fork","A2","noun","forks"
"497","form","A2","noun","forms"
"498","friend","A2","noun","friends"
"500","game","A2","noun","games"
"502","garlic","A2","noun","garlics"
"504","gate","A2","noun","gates"
"505","geography","A2","noun","geographies"
"506","gift","A2","noun","gifts"
"507","girlfriend","A2","noun","girlfriends"
"509","goal","A2","noun","goals"
"513","graduate","A2","noun","graduates"
"514","gram","A2","noun","grams"
"515","grammar","A2","noun","grammars"
"517","granddad","A2","noun","granddads"
"518","granddaughter","A2","noun","granddaughters"
"519","grandfather","A2","noun","grandfathers"
"520","grandma","A2","noun","grandmas"
"521","grandmother","A2","noun","grandmothers"
"522","grandpa","A2","noun","grandpas"
"523","grandparent","A2","noun","grandparents"
"524","grandson","A2","noun","grandsons"
"525","granny","A2","noun","grannies"
"527","gray","A2","noun","grays"
"528","green","A2","noun","greens"
"529","guest","A2","noun","guests"
"530","guide","A2","noun","guides"
"531","guidebook","A2","noun","guidebooks"
"532","guy","A2","noun","guys"
"533","gym","A2","noun","gyms"
"534","half","A2","noun","halfs"
"535","hall","A2","noun","halls"
"538","headache","A2","noun","headaches"
"540","heart","A2","noun","hearts"
"541","heat","A2","noun","heats"
"542","helicopter","A2","noun","helicopters"
"543","help","A2","noun","helps"
"544","highway","A2","noun","highways"
"546","hill","A2","noun","hills"
"548","history","A2","noun","histories"
"549","hobby","A2","noun","hobbies"
"554","id","A2","noun","ids"
"555","idea","A2","noun","ideas"
"556","identification","A2","noun","identifications"
"558","insect","A2","noun","insects"
"559","instrument","A2","noun","instruments"
"560","invitation","A2","noun","invitations"
"561","island","A2","noun","islands"
"562","it","A2","noun","its"
"563","jam","A2","noun","jams"
"564","jazz","A2","noun","jazzes"
"565","jelly","A2","noun","jellies"
"567","job","A2","noun","jobs"
"568","key","A2","noun","keys"
"569","keyboard","A2","noun","keyboards"
"570","kick","A2","noun","kicks"
"571","kid","A2","noun","kids"
"572","kilo","A2","noun","kilos"
"573","kilogram","A2","noun","kilograms"
"574","kilometer","A2","noun","kilometers"
"575","king","A2","noun","kings"
"577","kite","A2","noun","kites"
"578","lake","A2","noun","lakes"
"579","lamp","A2","noun","lamps"
"580","laptop","A2","noun","laptops"
"581","leather","A2","noun","leathers"
"582","left","A2","noun","lefts"
"583","lemon","A2","noun","lemons"
"584","lemonade","A2","noun","lemonades"
"585","letter","A2","noun","letters"
"586","level","A2","noun","levels"
"587","library","A2","noun","libraries"
"589","lift","A2","noun","lifts"
"590","light","A2","noun","lights"
"591","line","A2","noun","lines"
"592","lion","A2","noun","lions"
"593","list","A2","noun","lists"
"594","liter","A2","noun","liters"
"596","luggage","A2","noun","luggages"
"597","lunchtime","A2","noun","lunchtimes"
"598","machine","A2","noun","machines"
"599","magazine","A2","noun","magazines"
"600","magic","A2","noun","magpies"
"601","mail","A2","noun","mails"
"603","manager","A2","noun","managers"
"604","mango","A2","noun","mangoes"
"605","map","A2","noun","maps"
"606","mark","A2","noun","marks"
"607","market","A2","noun","markets"
"608","match","A2","noun","matches"
"609","math","A2","noun","maths"
"610","mechanic","A2","noun","mechanics"
"611","medicine","A2","noun","medicines"
"612","meeting","A2","noun","meetings"
"613","melon","A2","noun","melons"
"614","member","A2","noun","members"
"615","memory","A2","noun","memories"
"616","menu","A2","noun","menus"
"617","meter","A2","noun","meters"
"619","minute","A2","noun","minutes"
"620","mirror","A2","noun","mirrors"
"621","mistake","A2","noun","mistakes"
"622","model","A2","noun","models"
"623","moment","A2","noun","moments"
"624","monkey","A2","noun","monkeys"
"625","mosque","A2","noun","mosques"
"626","motorcycle","A2","noun","motorcycles"
"627","mountain","A2","noun","mountains"
"628","mouse","A2","noun","mousses"
"630","mug","A2","noun","mugs"
"631","mushroom","A2","noun","mushrooms"
"632","nature","A2","noun","natures"
"633","neck","A2","noun","necks"
"634","necklace","A2","noun","necklaces"
"635","neighbor","A2","noun","neighbors"
"637","newspaper","A2","noun","newspapers"
"638","noon","A2","noun","noons"
"640","notebook","A2","noun","notebooks"
"642","noun","A2","noun","nouns"
"643","nurse","A2","noun","nurses"
"644","occupation","A2","noun","occupations"
"645","ocean","A2","noun","oceans"
"646","offer","A2","noun","offers"
"647","office","A2","noun","offices"
"648","oil","A2","noun","oils"
"649","omelet","A2","noun","omelets"
"650","onion","A2","noun","onions"
"651","opera","A2","noun","operas"
"652","orange","A2","noun","oranges"
"653","order","A2","noun","orders"
"654","page","A2","noun","pages"
"655","pain","A2","noun","pains"
"656","painter","A2","noun","painters"
"657","painting","A2","noun","paintings"
"658","pair","A2","noun","pairs"
"659","pajamas","A2","noun","pajamas"
"660","partner","A2","noun","partners"
"661","passenger","A2","noun","passengers"
"662","passport","A2","noun","passports"
"664","path","A2","noun","paths"
"666","pear","A2","noun","pears"
"667","pepper","A2","noun","peppers"
"668","perfume","A2","noun","perfumes"
"669","photograph","A2","noun","photographs"
"670","photographer","A2","noun","photographers"
"672","physics","A2","noun","physics"
"673","piano","A2","noun","pianos"
"675","pillow","A2","noun","pillows"
"676","pilot","A2","noun","pilots"
"677","pink","A2","noun","pinks"
"680","plastic","A2","noun","plastics"
"681","platform","A2","noun","platforms"
"682","play","A2","noun","plays"
"683","player","A2","noun","players"
"684","playground","A2","noun","playgrounds"
"685","plural","A2","noun","plurals"
"686","pocket","A2","noun","pockets"
"690","pool","A2","noun","pools"
"692","postcard","A2","noun","postcards"
"693","poster","A2","noun","posters"
"694","practice","A2","noun","practices"
"695","present","A2","noun","presents"
"696","president","A2","noun","presidents"
"698","principal","A2","noun","principals"
"699","printer","A2","noun","printers"
"700","prize","A2","noun","prizes"
"701","program","A2","noun","programs"
"702","project","A2","noun","projects"
"703","purple","A2","noun","purples"
"705","puzzle","A2","noun","puzzles"
"706","quarter","A2","noun","quarters"
"708","question","A2","noun","questions"
"710","rabbit","A2","noun","rabbits"
"711","race","A2","noun","races"
"712","racket","A2","noun","rackets"
"713","railroad","A2","noun","railroads"
"714","raincoat","A2","noun","raincoats"
"717","reason","A2","noun","reasons"
"718","receipt","A2","noun","receipts"
"719","receptionist","A2","noun","receptionists"
"720","red","A2","noun","reds"
"721","rent","A2","noun","rents"
"722","rest","A2","noun","rests"
"723","restroom","A2","noun","restrooms"
"724","right","A2","noun","rights"
"725","ring","A2","noun","rings"
"726","rock","A2","noun","rocks"
"727","roof","A2","noun","roofs"
"728","roommate","A2","noun","roommates"
"730","ruler","A2","noun","rulers"
"731","runner","A2","noun","runners"
"733","sailing","A2","noun","sailings"
"734","salad","A2","noun","salads"
"735","salesperson","A2","noun","salespersons"
"736","sauce","A2","noun","sauces"
"737","sausage","A2","noun","sausages"
"739","schedule","A2","noun","schedules"
"740","school","A2","noun","schools"
"742","science","A2","noun","sciences"
"743","scissors","A2","noun","scissors"
"744","scooter","A2","noun","scooters"
"745","screen","A2","noun","screens"
"746","sea","A2","noun","seas"
"747","seat","A2","noun","seats"
"748","second","A2","noun","seconds"
"749","secretary","A2","noun","secretaries"
"750","semester","A2","noun","semesters"
"751","set","A2","noun","sets"
"752","shampoo","A2","noun","shampoos"
"754","ship","A2","noun","ships"
"755","shop","A2","noun","shops"
"756","shorts","A2","noun","shorts"
"757","show","A2","noun","shows"
"760","sign","A2","noun","signs"
"762","singer","A2","noun","singers"
"764","singular","A2","noun","singulars"
"765","sink","A2","noun","sinks"
"766","site","A2","noun","sites"
"767","size","A2","noun","sizes"
"768","skate","A2","noun","skates"
"769","skateboard","A2","noun","skateboards"
"772","skiing","A2","noun","skiings"
"774","slice","A2","noun","slices"
"775","snack","A2","noun","snacks"
"776","snake","A2","noun","snakes"
"777","sneaker","A2","noun","sneakers"
"779","soap","A2","noun","soaps"
"780","soccer","A2","noun","soccers"
"781","sock","A2","noun","socks"
"782","sofa","A2","noun","sofas"
"783","software","A2","noun","softwares"
"784","song","A2","noun","songs"
"785","sort","A2","noun","sorts"
"786","soul","A2","noun","souls"
"787","sound","A2","noun","sounds"
"789","space","A2","noun","spaces"
"790","speaker","A2","noun","speakers"
"791","spelling","A2","noun","spellings"
"792","spoon","A2","noun","spoons"
"793","spring","A2","noun","springs"
"794","square","A2","noun","squares"
"795","stadium","A2","noun","stadiums"
"796","staff","A2","noun","staffs"
"797","stage","A2","noun","stages"
"798","stairs","A2","noun","stairs"
"799","stamp","A2","noun","stamps"
"801","steak","A2","noun","steaks"
"802","stomach","A2","noun","stomachs"
"803","stomachache","A2","noun","stomachaches"
"805","story","A2","noun","stories"
"808","suitcase","A2","noun","suitcases"
"809","sunglasses","A2","noun","sunglasses"
"810","superlative","A2","noun","superlatives"
"813","surprise","A2","noun","surprises"
"814","sweater","A2","noun","sweaters"
"816","swim","A2","noun","swims"
"818","swimsuit","A2","noun","swimsuits"
"819","team","A2","noun","teams"
"820","teenager","A2","noun","teenagers"
"821","telephone","A2","noun","telephones"
"822","temperature","A2","noun","temperatures"
"823","text","A2","noun","texts"
"824","textbook","A2","noun","textbooks"
"825","theater","A2","noun","theaters"
"826","thing","A2","noun","things"
"827","thunderstorm","A2","noun","thunderstorms"
"828","tie","A2","noun","ties"
"829","tights","A2","noun","tights"
"830","time","A2","noun","times"
"831","tire","A2","noun","tires"
"833","toe","A2","noun","toes"
"835","toothache","A2","noun","toothaches"
"836","toothbrush","A2","noun","toothbrushes"
"837","top","A2","noun","tops"
"838","tour","A2","noun","tours"
"839","tourist","A2","noun","tourists"
"840","towel","A2","noun","towels"
"841","town","A2","noun","towns"
"842","toy","A2","noun","toys"
"844","tram","A2","noun","trams"
"846","type","A2","noun","types"
"847","umbrella","A2","noun","umbrellas"
"848","uncle","A2","noun","uncles"
"849","uniform","A2","noun","uniforms"
"850","use","A2","noun","uses"
"851","verb","A2","noun","verbs"
"852","video","A2","noun","videos"
"853","view","A2","noun","views"
"854","violin","A2","noun","violins"
"855","visitor","A2","noun","visitors"
"856","vocabulary","A2","noun","vocabularies"
"857","volleyball","A2","noun","volleyballs"
"858","walk","A2","noun","walks"
"860","wallet","A2","noun","wallets"
"863","water","A2","noun","waters"
"864","way","A2","noun","ways"
"865","weekday","A2","noun","weekdays"
"867","wheel","A2","noun","wheels"
"868","white","A2","noun","whites"
"870","wood","A2","noun","woods"
"872","wool","A2","noun","wools"
"873","work","A2","noun","works"
"874","workbook","A2","noun","workbooks"
"875","worker","A2","noun","workers"
"876","writing","A2","noun","writings"
"877","yard","A2","noun","yards"
"878","year","A2","noun","years"
"879","yellow","A2","noun","yellows"
"880","yogurt","A2","noun","yogurts"
"881","ability","B1","noun","abilities"
"882","accent","B1","noun","accents"
"884","account","B1","noun","accounts"
"885","accountant","B1","noun","accountants"
"886","ache","B1","noun","aches"
"887","achievement","B1","noun","achievements"
"889","action","B1","noun","actions"
"890","admission","B1","noun","admissions"
"891","advantage","B1","noun","advantages"
"892","agency","B1","noun","agencies"
"894","aim","B1","noun","aims"
"895","airline","B1","noun","airlines"
"896","alarm","B1","noun","alarms"
"897","album","B1","noun","albums"
"898","alphabet","B1","noun","alphabets"
"899","ambition","B1","noun","ambitions"
"900","ambulance","B1","noun","ambulances"
"901","amount","B1","noun","amounts"
"902","angel","B1","noun","angels"
"903","animation","B1","noun","animations"
"904","ankle","B1","noun","ankles"
"905","anniversary","B1","noun","anniversaries"
"906","announcement","B1","noun","announcements"
"907","answer","B1","noun","answers"
"908","ant","B1","noun","ants"
