plurals.f.lemma,Base.Word,COUNT.Base.Word
materials,material,1
maximums,maximum,1
meanings,meaning,1
memberships,membership,1
metals,metal,1
methods,method,1
miles,mile,1
millimeters,millimeter,1
minds,mind,1
minimums,minimum,1
monsters,monster,1
monuments,monument,1
moods,mood,1
murders,murder,1
murderers,murderer,1
musicians,musician,1
mustaches,mustache,1
neighborhoods,neighborhood,1
nephews,nephew,1
nets,net,1
nicknames,nickname,1
nieces,niece,1
nightclubs,nightclub,1
nightmares,nightmare,1
novels,novel,1
objects,object,1
occasions,occasion,1
offenses,offense,1
officers,officer,1
olives,olive,1
operations,operation,1
opinions,opinion,1
opposites,opposite,1
options,option,1
orchestras,orchestra,1
organizations,organization,1
ovens,oven,1
owners,owner,1
palaces,palace,1
paragraphs,paragraph,1
parrots,parrot,1
passwords,password,1
patients,patient,1
patterns,pattern,1
pays,pay,1
peas,pea,1
peaks,peak,1
peanuts,peanut,1
pedestrians,pedestrian,1
penguins,penguin,1
performances,performance,1
performers,performer,1
periods,period,1
permissions,permission,1
phrases,phrase,1
pies,pie,1
piles,pile,1
pills,pill,1
pineapples,pineapple,1
pipes,pipe,1
planets,planet,1
pleasures,pleasure,1
plugs,plug,1
poems,poem,1
poets,poet,1
politicians,politician,1
pollutions,pollution,1
popcorns,popcorn,1
populations,population,1
porks,pork,1
ports,port,1
positions,position,1
pots,pot,1
powders,powder,1
powers,power,1
prayers,prayer,1
preparations,preparation,1
prepositions,preposition,1
prescriptions,prescription,1
presentations,presentation,1
princes,prince,1
prisons,prison,1
prisoners,prisoner,1
products,product,1
professions,profession,1
professors,professor,1
promises,promise,1
pronouns,pronoun,1
pronunciations,pronunciation,1
pullovers,pullover,1
pumps,pump,1
purposes,purpose,1
questionnaires,questionnaire,1
rails,rail,1
ranges,range,1
readers,reader,1
recipes,recipe,1
records,record,1
recordings,recording,1
recyclings,recycling,1
refreshments,refreshments,1
refunds,refund,1
regions,region,1
registrations,registration,1
relations,relation,1
relationships,relationship,1
relatives,relative,1
relaxations,relaxation,1
religions,religion,1
repairs,repair,1
reports,report,1
reporters,reporter,1
requests,request,1
rescues,rescue,1
reservations,reservation,1
resorts,resort,1
respects,respect,1
results,result,1
returns,return,1
rewards,reward,1
riders,rider,1
robots,robot,1
roles,role,1
rolls,roll,1
romances,romance,1
roses,rose,1
routes,route,1
routines,routine,1
rows,row,1
rugs,rug,1
ruins,ruin,1
rules,rule,1
sailors,sailor,1
salons,salon,1
sands,sand,1
sandals,sandal,1
saucers,saucer,1
scenes,scene,1
scientists,scientist,1
scores,score,1
screams,scream,1
sculptures,sculpture,1
seasons,season,1
sections,section,1
sellers,seller,1
senses,sense,1
servers,server,1
sessions,session,1
shades,shade,1
shadows,shadow,1
shapes,shape,1
sharks,shark,1
sheets,sheet,1
shocks,shock,1
shores,shore,1
shoulders,shoulder,1
shouts,shout,1
shrimps,shrimp,1
sidewalks,sidewalk,1
sights,sight,1
signposts,signpost,1
silences,silence,1
silks,silk,1
situations,situation,1
skills,skill,1
skins,skin,1
sleeps,sleep,1
sleeves,sleeve,1
smells,smell,1
smiles,smile,1
smokes,smoke,1
snowboards,snowboard,1
soldiers,soldier,1
solutions,solution,1
souvenirs,souvenir,1
speeds,speed,1
spices,spice,1
spiders,spider,1
spots,spot,1
stains,stain,1
stalls,stall,1
starts,start,1
stays,stay,1
steps,step,1
sticks,stick,1
strangers,stranger,1
streams,stream,1
strikes,strike,1
stripes,stripe,1
studios,studio,1
stuffs,stuff,1
suggestions,suggestion,1
sums,sum,1
sunrises,sunrise,1
sunsets,sunset,1
supports,support,1
sweatshirts,sweatshirt,1
swimmers,swimmer,1
systems,system,1
tablets,tablet,1
takeouts,takeout,1
talents,talent,1
talks,talk,1
tastes,taste,1
teachings,teaching,1
tears,tear,1
techniques,technique,1
temples,temple,1
tenses,tense,1
tents,tent,1
thoughts,thought,1
thrillers,thriller,1
throats,throat,1
thumbs,thumb,1
thunders,thunder,1
tigers,tiger,1
tips,tip,1
tissues,tissue,1
tongues,tongue,1
toothpastes,toothpaste,1
topics,topic,1
totals,total,1
tournaments,tournament,1
towers,tower,1
tracks,track,1
trades,trade,1
trainers,trainer,1
translations,translation,1
travels,travel,1
travelers,traveler,1
trends,trend,1
tricks,trick,1
troubles,trouble,1
trucks,truck,1
trumpets,trumpet,1
trunks,trunk,1
tubes,tube,1
tunas,tuna,1
tunnels,tunnel,1
turkeys,turkey,1
turns,turn,1
underpants,underpants,1
unions,union,1
users,user,1
valleys,valley,1
values,value,1
vases,vase,1
vegetarians,vegetarian,1
vehicles,vehicle,1
vets,vet,1
visas,visa,1
visits,visit,1
voices,voice,1
volumes,volume,1
votes,vote,1
vowels,vowel,1
wages,wage,1
warnings,warning,1
wastes,waste,1
waterfalls,waterfall,1
waves,wave,1
webs,web,1
webcams,webcam,1
weddings,wedding,1
weights,weight,1
welcomes,welcome,1
whales,whale,1
wheelchairs,wheelchair,1
wings,wing,1
workouts,workout,1
writers,writer,1
youths,youth,1
zones,zone,1
absences,absence,1
abuses,abuse,1
accommodations,accommodations,1
acids,acid,1
addicts,addict,1
addictions,addiction,1
additions,addition,1
adjustments,adjustment,1
adoptions,adoption,1
advances,advance,1
affairs,affair,1
affections,affection,1
agents,agent,1
agreements,agreement,1
alternatives,alternative,1
ambassadors,ambassador,1
amusements,amusement,1
analysis,analysis,1
analysts,analyst,1
angers,anger,1
apostrophes,apostrophe,1
appeals,appeal,1
approvals,approval,1
arrests,arrest,1
arrows,arrow,1
aspects,aspect,1
assessments,assessment,1
associations,association,1
astonishments,astonishment,1
atoms,atom,1
attachments,attachment,1
attempts,attempt,1
attics,attic,1
awards,award,1
backups,backup,1
balances,balance,1
ballets,ballet,1
bangs,bang,1
bankers,banker,1
barriers,barrier,1
bartenders,bartender,1
basements,basement,1
beams,beam,1
beats,beat,1
belongings,belongings,1
bends,bend,1
bestsellers,bestseller,1
bikinis,bikini,1
billions,billion,1
bites,bite,1
blades,blade,1
blames,blame,1
bombers,bomber,1
bombings,bombing,1
bonds,bond,1
booklets,booklet,1
bookmarks,bookmark,1
bows,bow,1
brands,brand,1
breakdowns,breakdown,1
breakthroughs,breakthrough,1
breeds,breed,1
bricks,brick,1
browsers,browser,1
bruises,bruise,1
budgets,budget,1
bullets,bullet,1
bumpers,bumper,1
buns,bun,1
burglars,burglar,1
calculations,calculation,1
carbons,carbon,1
cardigans,cardigan,1
carelessness,carelessness,1
carnivals,carnival,1
carts,cart,1
catalogs,catalog,1
causes,cause,1
cells,cell,1
cellars,cellar,1
cellos,cello,1
chaos,chaos,1
characteristics,characteristic,1
charms,charm,1
charts,chart,1
chemicals,chemical,1
chests,chest,1
chimneys,chimney,1
chips,chip,1
choirs,choir,1
circumstances,circumstance,1
citizens,citizen,1
civilizations,civilization,1
claims,claim,1
classics,classic,1
clauses,clause,1
clients,client,1
cloths,cloth,1
clues,clue,1
codes,code,1
coincidences,coincidence,1
collapses,collapse,1
collectors,collector,1
collocations,collocation,1
columns,column,1
combinations,combination,1
comedians,comedian,1
comforts,comfort,1
commands,command,1
commitments,commitment,1
committees,committee,1
companions,companion,1
comparisons,comparison,1
composers,composer,1
compromises,compromise,1
concentrations,concentration,1
concepts,concept,1
concerns,concern,1
concretes,concrete,1
conductors,conductor,1
confessions,confession,1
confidences,confidence,1
confirmations,confirmation,1
conflicts,conflict,1
confusions,confusion,1
conjunctions,conjunction,1
consciousness,consciousness,1
consequences,consequence,1
considerations,consideration,1
constructions,construction,1
consultants,consultant,1
consumers,consumer,1
containers,container,1
contents,content,1
contexts,context,1
contrasts,contrast,1
contributions,contribution,1
controls,control,1
conveniences,convenience,1
coppers,copper,1
corporations,corporation,1
corridors,corridor,1
costumes,costume,1
councils,council,1
cowards,coward,1
crabs,crab,1
crafts,craft,1
creations,creation,1
critics,critic,1
criticisms,criticism,1
crocodiles,crocodile,1
crossroads,crossroads,1
cursors,cursor,1
cycles,cycle,1
darkness,darkness,1
darlings,darling,1
databases,database,1
dawns,dawn,1
daylights,daylight,1
daytimes,daytime,1
deadlines,deadline,1
deals,deal,1
dealers,dealer,1
debates,debate,1
debits,debit,1
debts,debt,1
decades,decade,1
declines,decline,1
decorations,decoration,1
deers,deer,1
defenders,defender,1
definitions,definition,1
delights,delight,1
demonstrations,demonstration,1
denims,denim,1
depressions,depression,1
desktops,desktop,1
despairs,despair,1
determinations,determination,1
determiners,determiner,1
devices,device,1
devils,devil,1
dialogues,dialogue,1
diamonds,diamond,1
dilemmas,dilemma,1
dimensions,dimension,1
diplomats,diplomat,1
disagreements,disagreement,1
disappearances,disappearance,1
disasters,disaster,1
disciplines,discipline,1
disgraces,disgrace,1
disguises,disguise,1
dislikes,dislike,1
disposals,disposal,1
dissatisfactions,dissatisfaction,1
distinctions,distinction,1
dives,dive,1
divisions,division,1
donations,donation,1
drafts,draft,1
drugs,drug,1
eagles,eagle,1
earthquakes,earthquake,1
eases,ease,1
economists,economist,1
editions,edition,1
editors,editor,1
electricians,electrician,1
electronics,electronics,1
elements,element,1
embarrassments,embarrassment,1
emotions,emotion,1
encouragements,encouragement,1
entertainers,entertainer,1
enthusiasms,enthusiasm,1
environments,environment,1
